building_title,model_title,area1,area2
1号楼,H-2户型,104.13,104.13
1号楼,H-1户型,101.49,101.49
1号楼,F-3户型,121.92,121.92
1号楼,F-2户型,94.31,94.31
1号楼,F-1户型,119.62,119.62
2号楼,E-2户型,105.46,124.01
2号楼,E-2户型,107.34,125.9
2号楼,C户型,113.43,131.98
2号楼,D户型,154.61,173.16
3号楼,E-2户型,105.46,124.01
3号楼,E-2户型,107.34,125.9
3号楼,C户型,113.43,131.98
3号楼,D户型,154.61,173.16
5号楼,G-1户型,87.12,108.44  
5号楼,G-2户型 , 81.04 ,102.37  
5号楼,G-2户型 ,82.22 ,103.54  
5号楼,G-2户型 ,81.04 ,102.37  
5号楼,G-2户型 ,81.04 ,102.37  
5号楼,G-1户型,87.12,108.44
6号楼,H-2户型,104.13 ,104.13  
6号楼,H-1户型,101.49  ,101.49  
6号楼,F-3户型 ,121.92  ,121.92  
6号楼,F-2户型 ,94.31 ,94.31 
6号楼,F-1户型,119.62,119.62
7号楼,F-1户型 ,116.91 ,116.91 
7号楼,F-2户型 ,92.18 ,92.18 
7号楼,F-3户型,119.16,119.16
8号楼,B户型,127.7,146.5 
8号楼,C户型 , 114.94  ,133.74  
8号楼,E-1户型 ,106.65  ,125.45  
8号楼,A户型,86.46,106.41
9号楼,D户型 ,154.61 ,173.16 
9号楼,C户型 ,113.43  ,131.98  
9号楼,E-2户型 ,107.34  ,125.9 
9号楼,E-2户型,105.46,124.01
10号楼,A户型  ,88.33  ,108.71 
10号楼,E-1户型 ,108.96  ,128.17  
10号楼,E-1户型 ,108.96  ,128.17  
10号楼,A户型,88.33,108.71
12号楼,A户型  ,88.33  ,108.71 
12号楼,E-1户型 ,108.96  ,128.17  
12号楼,E-1户型 ,108.96  ,128.17  
12号楼,A户型,88.33,108.71
13号楼,E-2户型  ,106.24 ,121.61 
13号楼,E-2户型 ,108.14,123.51  
13号楼,C户型 ,114.27  ,132.96 
13号楼,B户型,126.96, 145.65  
15号楼,G-1户型  ,107.72 ,107.72 
15号楼,G-2户型 ,101.69  ,101.69  
15号楼,G-2户型 ,102.85  ,102.85  
15号楼,G-2户型 ,101.69  ,101.69  
15号楼,G-2户型 ,101.69  ,101.69  
15号楼,G-1户型,107.72,107.72
16号楼,B户型,127.7  ,146.5  
16号楼,  C户型 ,114.94  ,133.74  
16号楼,  E-1户型 ,106.65  ,125.45  
16号楼,  A户型,86.46,106.41
17号楼,A户型  ,88.33  ,108.71 
17号楼,E-1户型 ,108.96 ,128.17 
17号楼,E-1户型 , 108.96  , 128.17  
17号楼,A户型,88.33,108.71
